,Rock Climbing Gym Name,State,City,Sq Ft,Rope Climbing,Website,Day pass price,Monthly Membership,Gym Rating,Number of Ratings
254,Base Camp Climbing Gym,Michigan,Norway,NA,No,https://www.truenorthoutpost.com/2020-climbing-gym-page,30,175,5,4
255,Minnesota Climbing Cooperative,Minnesota,Minneapolis,NA,No,https://www.mnclimbingcoop.com/,20,59,4.8,72
256,Minneapolis Bouldering Project,Minnesota,Minneapolis,NA,No,https://minneapolisboulderingproject.com/,16,68,4.8,200
257,Vertical Endeavors Minneapolis,Minnesota,Minneapolis,NA,Yes,https://www.verticalendeavors.com/visit-us/hours-locations/minneapolis-mn/,20,74,4.3,162
258,Roca Climbing and Fitness,Minnesota,Rochester,NA,Yes,https://www.climbroca.com/,15,82,4.9,91
259,Vertical Endeavors Bloomington,Minnesota,Bloomington,NA,Yes,https://www.verticalendeavors.com/visit-us/hours-locations/bloomington-mn/,20,74,4.5,175
260,Vertical Endeavors Twin Cities Bouldering,Minnesota,St Paul,18000,No,https://www.verticalendeavors.com/visit-us/hours-locations/twin-cities-bouldering-4/,20,74,4.6,92
261,Vertical Endeavors Duluth,Minnesota,Duluth,NA,Yes,https://www.verticalendeavors.com/visit-us/hours-locations/duluth-mn/,20,74,4.4,23
262,The A,Minnesota,Minneapolis,NA,No,https://www.aclimbing.com/,NA,55,4.8,22
263,Vertical Endeavors St Paul,Minnesota,St Paul,NA,Yes,https://www.verticalendeavors.com/visit-us/hours-locations/st-paul-mn/,20,74,4.6,116
264,The Hangout,Mississippi,Ridgeland,NA,No,https://www.facebook.com/hangoutrockclimbing/,NA,NA,4,5
265,Upper Limits Rock Climbing Gym Maryland Heights,Missouri,St. Louis,NA,Yes,https://upperlimits.com/maryland-heights/,20,64,4.9,300
266,"ROKC Climbing, Yoga, and Fitness Gym",Missouri,North Kansas City,NA,Yes,https://www.climbkc.com/nkc,18,85,4.8,178
267,Zenith Climbing Center,Missouri,Springfield,NA,Yes,https://zenithclimbing.com/,17,60,4.7,167
268,Upper Limits Indoor Rock Climbing Gym Downtown,Missouri,St. Louis,NA,Yes,https://upperlimits.com/downtown/,18,74,4.9,247
269,Climb So iLL at the Power Plant,Missouri,St. Louis,NA,Yes,https://stlouis.climbsoill.com/,18,78,4.8,418
270,Sequence Climb,Missouri,Kansas City,NA,No,https://www.sequenceclimb.com/,18,65,5,95
271,Upper Limits Indoor Rock Climbing Gym Chesterfield,Missouri,Chesterfield,NA,Yes,http://www.upperlimits.com/chesterfield/,20,64,4.8,279
272,RoKC Underground Bouldering Gym,Missouri,Kansas City,NA,No,https://www.climbkc.com/underground,15,85,4.9,84
273,Climb So iLL at the Steel Shop,Missouri,St Charles,NA,Yes,https://stcharles.climbsoill.com/,20,78,4.8,80
274,Freestone Climbing Center,Montana,Missoula,NA,Yes,https://freestoneclimbing.com/,19,68,4.5,74
275,Steepworld Climbing and Fitness,Montana,Billings,NA,Yes,https://steepworld.com/,17,59,4.8,129
276,Spire Climbing and Fitness,Montana,Bozeman,18000,Yes,https://www.spireclimbingcenter.com/,19,76,4.7,98
